epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,total_time_sec
1,0.215316,93.45,0.054312,98.24,146.706,146.708
2,0.051753,98.37,0.055914,98.28,144.974,291.683
3,0.038434,98.77,0.062472,98.19,147.234,438.918
