epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,total_time_sec
1,0.198359,95.10,0.056185,98.17,46.721,46.721
2,0.044495,98.65,0.042066,98.58,47.641,94.362
3,0.031521,99.03,0.037801,98.66,47.081,141.444
