epoch,train_loss,train_acc,val_loss,val_acc,epoch_time_sec,total_time_sec
1,0.159444,95.11,0.046194,98.47,143.263,143.264
2,0.039427,98.76,0.041707,98.65,145.825,289.090
3,0.024940,99.24,0.046082,98.49,153.421,442.512
